USMS Men's Short Course Yards Records 07/15/2024
Age Group,Event,Name,Date,Time
M45-49,100 Y Free,Nicolas Granger,04-26-15,46.21Y
M45-49,200 Y Free,David E Sims,05-21-10,1:41.69Y
M45-49,500 Y Free,Dennis Baker,05-20-07,4:39.10Y
M45-49,1000 Y Free,Keith M Switzer,05-20-10,9:43.93Y
M45-49,1650 Y Free,Jeff T Erwin,05-20-10,16:08.05Y
M45-49,50 Y Back,Michael S Ross,04-26-15,23.58Y
M45-49,100 Y Back,Chuck Barnes,04-01-23,50.83Y
M45-49,200 Y Back,Chuck Barnes,04-30-22,1:51.82Y
M45-49,50 Y Breast,Jeff P Commings,04-27-19,25.66Y
M45-49,100 Y Breast,Steve West,05-13-18,55.69Y
M45-49,200 Y Breast,Steve West,04-29-17,2:02.42Y
M45-49,50 Y Fly,Paul L Smith,05-04-08,22.67Y
M45-49,100 Y Fly,Chuck Barnes,04-29-22,50.20Y
M45-49,200 Y Fly,Dennis G Baker,12-06-08,1:50.73Y
M45-49,100 Y IM,Richard L Hughey,05-23-10,52.14Y
M45-49,200 Y IM,Nicolas Granger,04-26-15,1:51.44Y
M45-49,400 Y IM,Nicolas Granger,04-24-15,4:01.32Y
M50-54,50 Y Free,Rowdy Gaines,04-29-11,21.36Y
M50-54,100 Y Free,Rowdy Gaines,05-10-09,46.59Y
M50-54,200 Y Free,Rowdy Gaines,05-10-09,1:43.76Y
M50-54,500 Y Free,Jim Mcconica,05-20-01,4:47.57Y
M50-54,1000 Y Free,Keith M Switzer,04-06-13,9:55.84Y
M50-54,1650 Y Free,Jeff T Erwin,04-23-15,16:28.77Y
M50-54,50 Y Back,Peter S Moore,01-13-24,24.24Y
M50-54,100 Y Back,Fritz Bedford,03-21-15,52.72Y
M50-54,200 Y Back,Jeff Commings,04-20-24,1:53.63Y
M50-54,50 Y Breast,Steve West,04-29-22,26.20Y
M50-54,100 Y Breast,Steve West,04-30-22,56.25Y
M50-54,200 Y Breast,Steve West,05-01-22,2:03.67Y
M50-54,50 Y Fly,Trip Hedrick,04-25-04,23.19Y
M50-54,100 Y Fly,William A Weaver,04-16-23,51.60Y
M50-54,200 Y Fly,David E Sims,04-29-16,1:58.49Y
M50-54,100 Y IM,Jeff Commings,04-20-24,53.41Y
M50-54,200 Y IM,Mike Irvin,03-11-17,1:58.19Y
M50-54,400 Y IM,Darren D Phelan,05-02-14,4:16.57Y
M55-59,50 Y Free,Richard Abrahams,04-30-00,21.82Y
M55-59,100 Y Free,Richard Abrahams,04-30-00,48.37Y
M55-59,200 Y Free,Michael T Mann,04-10-10,1:48.79Y
M55-59,500 Y Free,Michael T Mann,04-11-10,4:56.82Y
M55-59,1000 Y Free,Jim Mc Conica,05-14-06,10:07.36Y
M55-59,1650 Y Free,Jim Mc Conica,05-20-07,17:11.12Y
M55-59,50 Y Back,Mike Irvin,03-17-23,25.08Y
M55-59,100 Y Back,Steve Wood,02-25-17,53.81Y
M55-59,200 Y Back,Mike Irvin,03-19-23,1:59.64Y
M55-59,50 Y Breast,Carlo A TRAVAINI,04-27-19,26.32Y
M55-59,100 Y Breast,Carlo A Travaini,05-13-18,57.95Y
M55-59,200 Y Breast,Carlo A TRAVAINI,05-12-18,2:07.80Y
M55-59,50 Y Fly,Steve Hiltabiddle,07-25-21,23.57Y
M55-59,100 Y Fly,Steve Hiltabiddle,07-24-21,53.32Y
M55-59,200 Y Fly,David E Sims,05-12-18,2:01.59Y
M55-59,100 Y IM,Mike Irvin,04-29-23,55.07Y
