M,75-79,1650,Freestyle,Joel R Wilson,2024-02-25,00:20:47.94,
M,85-89,50,Backstroke,William Van Horn,2024-01-13,00:00:41.10,
M,30-34,50,Breaststroke,Brandon J Fischer,2023-12-15,00:00:24.44,
M,35-39,50,Breaststroke,Brandon J Fischer,2024-01-28,00:00:25.45,
M,80-84,50,Breaststroke,David R Gildea,2024-01-13,00:00:38.59,
M,30-34,100,Breaststroke,Brandon J Fischer,2023-12-15,00:00:51.97,
M,35-39,100,Breaststroke,Brandon J Fischer,2024-01-28,00:00:54.75,
M,80-84,100,Breaststroke,David R Gildea,2024-01-13,00:01:26.37,
M,30-34,200,Breaststroke,Brandon J Fischer,2023-12-16,00:01:52.08,
M,85-89,100,Individual Medley,William Van Horn,2024-01-13,00:01:39.25,
